,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
0,soma(0.318182),4.000968933105469,4.000968933105469,,-59.91916843487242,-63.0,50.0,20.0,0.0,0.2,0.0
1,soma(0.318182),4.0230560302734375,4.0230560302734375,,-59.884290514329685,-63.0,50.0,20.0,0.1,0.2,0.0
2,soma(0.318182),4.043312072753906,4.043312072753906,,-59.81080745804204,-63.0,50.0,20.0,0.2,0.2,0.0
3,soma(0.318182),4.061737060546875,4.061737060546875,,-59.77497547343946,-63.0,50.0,20.0,0.3,0.2,0.0
4,soma(0.318182),4.077873229980469,4.077873229980469,,-59.710325290509424,-63.0,50.0,20.0,0.4,0.2,0.0
5,soma(0.318182),4.091606140136719,4.091606140136719,,-59.652919914608006,-63.0,50.0,20.0,0.5,0.2,0.0
6,soma(0.318182),4.102592468261719,4.102592468261719,,-59.58853400325153,-63.0,50.0,20.0,0.6,0.2,0.0
7,soma(0.318182),4.110603332519531,4.110603332519531,,-59.51686129529079,-63.0,50.0,20.0,0.7,0.2,0.0
8,soma(0.318182),4.11529541015625,4.11529541015625,,-59.408576951320875,-63.0,50.0,20.0,0.8,0.2,0.0
9,soma(0.318182),4.116554260253906,4.116554260253906,,-59.363218251249194,-63.0,50.0,20.0,0.9,0.2,0.0
10,soma(0.318182),4.113922119140625,4.113922119140625,,-59.29362085227168,-63.0,50.0,20.0,1.0,0.2,0.0
11,soma(0.318182),4.000968933105469,4.000968933105469,,-59.91911053599071,-63.0,50.0,20.0,0.0,0.3,0.0
12,soma(0.318182),4.0042877197265625,4.0042877197265625,,-59.84328815873901,-63.0,50.0,20.0,0.1,0.3,0.0
13,soma(0.318182),4.005775451660156,4.005775451660156,,-59.784004721117306,-63.0,50.0,20.0,0.2,0.3,0.0
14,soma(0.318182),4.005317687988281,4.005317687988281,,-59.73069608955579,-63.0,50.0,20.0,0.3,0.3,0.0
15,soma(0.318182),4.002685546875,4.002685546875,,-59.6246669404232,-63.0,50.0,20.0,0.4,0.3,0.0
16,soma(0.318182),3.9979934692382812,3.9979934692382812,,-59.55132320603824,-63.0,50.0,20.0,0.5,0.3,0.0
