,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
51,ais(0.89819),3.51776123046875,3.51776123046875,,-61.63259790410939,-63.0,50.0,20.0,0.7,0.6,0.0
52,ais(0.89819),2.255859375,2.255859375,,-61.61668613239639,-63.0,50.0,20.0,0.8,0.6,0.0
53,ais(0.89819),1.298370361328125,1.298370361328125,,-62.674083035648124,-63.0,50.0,20.0,0.9,0.6,0.0
54,ais(0.89819),0.49468994140625,0.49468994140625,,-60.68848770777492,-63.0,50.0,20.0,1.0,0.6,0.0
55,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.0,0.7,0.0
56,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.1,0.7,0.0
57,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.2,0.7,0.0
58,ais(0.89819),inf,inf,,-60.68848770777492,-63.0,50.0,20.0,0.3,0.7,0.0
59,ais(0.89819),8.47412109375,8.47412109375,,-62.30805951226829,-63.0,50.0,20.0,0.4,0.7,0.0
60,ais(0.89819),6.512451171875,6.512451171875,,-62.75614479114416,-63.0,50.0,20.0,0.5,0.7,0.0
61,ais(0.89819),4.786834716796875,4.786834716796875,,-62.55176006493538,-63.0,50.0,20.0,0.6,0.7,0.0
62,ais(0.89819),3.277740478515625,3.277740478515625,,-61.62406517551543,-63.0,50.0,20.0,0.7,0.7,0.0
63,ais(0.89819),1.998138427734375,1.998138427734375,,-61.880328603139866,-63.0,50.0,20.0,0.8,0.7,0.0
64,ais(0.89819),1.133880615234375,1.133880615234375,,-62.08827280764287,-63.0,50.0,20.0,0.9,0.7,0.0
65,ais(0.89819),0.507354736328125,0.507354736328125,,-60.7241606705082,-63.0,50.0,20.0,1.0,0.7,0.0
66,ais(0.89819),inf,inf,,-60.7241606705082,-63.0,50.0,20.0,0.0,0.8,0.0
67,ais(0.89819),inf,inf,,-60.7241606705082,-63.0,50.0,20.0,0.1,0.8,0.0
68,ais(0.89819),inf,inf,,-60.7241606705082,-63.0,50.0,20.0,0.2,0.8,0.0
69,ais(0.89819),inf,inf,,-60.7241606705082,-63.0,50.0,20.0,0.3,0.8,0.0
70,ais(0.89819),8.459930419921875,8.459930419921875,,-62.05262623534782,-63.0,50.0,20.0,0.4,0.8,0.0
71,ais(0.89819),6.49383544921875,6.49383544921875,,-62.91603866939262,-63.0,50.0,20.0,0.5,0.8,0.0
72,ais(0.89819),4.751739501953125,4.751739501953125,,-62.28201201022759,-63.0,50.0,20.0,0.6,0.8,0.0
73,ais(0.89819),3.217620849609375,3.217620849609375,,-61.631673708098134,-63.0,50.0,20.0,0.7,0.8,0.0
74,ais(0.89819),1.917266845703125,1.917266845703125,,-62.373848864999005,-63.0,50.0,20.0,0.8,0.8,0.0
75,ais(0.89819),0.529022216796875,0.529022216796875,,-60.61984240350722,-63.0,50.0,20.0,0.9,0.8,0.0
76,ais(0.89819),0.52825927734375,0.52825927734375,,-60.736149902081394,-63.0,50.0,20.0,1.0,0.8,0.0
