,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
44,soma(0.318182),4.00054931640625,4.00054931640625,,-62.40837149412136,-63.0,50.0,20.0,0.0,0.6,0.0
45,soma(0.318182),4.0496826171875,4.0496826171875,,-62.4522191123553,-63.0,50.0,20.0,0.1,0.6,0.0
46,soma(0.318182),4.09942626953125,4.09942626953125,,-62.6654341396938,-63.0,50.0,20.0,0.2,0.6,0.0
47,soma(0.318182),4.14947509765625,4.14947509765625,,-62.69263053839636,-63.0,50.0,20.0,0.3,0.6,0.0
48,soma(0.318182),4.199981689453125,4.199981689453125,,-62.73896438050983,-63.0,50.0,20.0,0.4,0.6,0.0
49,soma(0.318182),4.250946044921875,4.250946044921875,,-62.865198899152354,-63.0,50.0,20.0,0.5,0.6,0.0
50,soma(0.318182),4.302215576171875,4.302215576171875,,-62.9356914234698,-63.0,50.0,20.0,0.6,0.6,0.0
51,soma(0.318182),4.35394287109375,4.35394287109375,,-60.40185999752026,-63.0,50.0,20.0,0.7,0.6,0.0
52,soma(0.318182),4.405517578125,4.405517578125,,-62.9672702328277,-63.0,50.0,20.0,0.8,0.6,0.0
53,soma(0.318182),4.45770263671875,4.45770263671875,,-60.49023800114696,-63.0,50.0,20.0,0.9,0.6,0.0
54,soma(0.318182),4.510040283203125,4.510040283203125,,-60.564719889404586,-63.0,50.0,20.0,1.0,0.6,0.0
55,soma(0.318182),4.00054931640625,4.00054931640625,,-62.40824338174221,-63.0,50.0,20.0,0.0,0.7,0.0
56,soma(0.318182),4.065704345703125,4.065704345703125,,-62.352089871771696,-63.0,50.0,20.0,0.1,0.7,0.0
57,soma(0.318182),4.13299560546875,4.13299560546875,,-62.610521541083024,-63.0,50.0,20.0,0.2,0.7,0.0
58,soma(0.318182),4.202423095703125,4.202423095703125,,-62.754599078542306,-63.0,50.0,20.0,0.3,0.7,0.0
59,soma(0.318182),4.273834228515625,4.273834228515625,,-62.774309477305174,-63.0,50.0,20.0,0.4,0.7,0.0
60,soma(0.318182),4.3475341796875,4.3475341796875,,-62.87300165556325,-63.0,50.0,20.0,0.5,0.7,0.0
61,soma(0.318182),4.423370361328125,4.423370361328125,,-62.87448577836326,-63.0,50.0,20.0,0.6,0.7,0.0
62,soma(0.318182),4.501495361328125,4.501495361328125,,-62.91560059106129,-63.0,50.0,20.0,0.7,0.7,0.0
