,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
43,ais(0.89819),0.48717498779296875,,0.48717498779296875,-17.632556376060013,-63.0,50.0,20.0,1.0,0.5,0.0
44,ais(0.89819),0.5364990234375,,0.5364990234375,-62.126881818271904,-63.0,50.0,20.0,0.0,0.6,0.0
45,ais(0.89819),0.53192138671875,,0.53192138671875,-61.79041103084185,-63.0,50.0,20.0,0.1,0.6,0.0
46,ais(0.89819),0.5275726318359375,,0.5275726318359375,-61.53785917510083,-63.0,50.0,20.0,0.2,0.6,0.0
47,ais(0.89819),0.5231094360351562,,0.5231094360351562,-61.12945711526293,-63.0,50.0,20.0,0.3,0.6,0.0
48,ais(0.89819),0.5188751220703125,,0.5188751220703125,-60.781952442990026,-63.0,50.0,20.0,0.4,0.6,0.0
49,ais(0.89819),0.5146408081054688,,0.5146408081054688,-60.285942235662404,-63.0,50.0,20.0,0.5,0.6,0.0
50,ais(0.89819),0.5105209350585938,,0.5105209350585938,-59.621092661507596,-63.0,50.0,20.0,0.6,0.6,0.0
51,ais(0.89819),0.5064010620117188,,0.5064010620117188,-58.09104719162585,-63.0,50.0,20.0,0.7,0.6,0.0
52,ais(0.89819),0.5023956298828125,,0.5023956298828125,-17.56314099796244,-63.0,50.0,20.0,0.8,0.6,0.0
53,ais(0.89819),0.498504638671875,,0.498504638671875,-17.632446751502307,-63.0,50.0,20.0,0.9,0.6,0.0
54,ais(0.89819),0.4946136474609375,,0.4946136474609375,-17.72703559264558,-63.0,50.0,20.0,1.0,0.6,0.0
55,ais(0.89819),0.5364990234375,,0.5364990234375,-62.12724531313409,-63.0,50.0,20.0,0.0,0.7,0.0
56,ais(0.89819),0.5334091186523438,,0.5334091186523438,-61.81747111679888,-63.0,50.0,20.0,0.1,0.7,0.0
57,ais(0.89819),0.5303192138671875,,0.5303192138671875,-61.423742930088004,-63.0,50.0,20.0,0.2,0.7,0.0
58,ais(0.89819),0.52734375,,0.52734375,-61.11863808785857,-63.0,50.0,20.0,0.3,0.7,0.0
59,ais(0.89819),0.5243682861328125,,0.5243682861328125,-60.69950256520021,-63.0,50.0,20.0,0.4,0.7,0.0
60,ais(0.89819),0.521392822265625,,0.521392822265625,-60.09070664700542,-63.0,50.0,20.0,0.5,0.7,0.0
61,ais(0.89819),0.5185317993164062,,0.5185317993164062,-59.43775232572632,-63.0,50.0,20.0,0.6,0.7,0.0
62,ais(0.89819),0.5156707763671875,,0.5156707763671875,-57.61251232754331,-63.0,50.0,20.0,0.7,0.7,0.0
63,ais(0.89819),0.5128097534179688,,0.5128097534179688,-17.559551883194995,-63.0,50.0,20.0,0.8,0.7,0.0
64,ais(0.89819),0.50994873046875,,0.50994873046875,-17.676231998371573,-63.0,50.0,20.0,0.9,0.7,0.0
65,ais(0.89819),0.5072021484375,,0.5072021484375,-17.741634505351023,-63.0,50.0,20.0,1.0,0.7,0.0
66,ais(0.89819),0.5364990234375,,0.5364990234375,-62.12727927942073,-63.0,50.0,20.0,0.0,0.8,0.0
67,ais(0.89819),0.5356979370117188,,0.5356979370117188,-61.80630285005124,-63.0,50.0,20.0,0.1,0.8,0.0
68,ais(0.89819),0.5348968505859375,,0.5348968505859375,-61.46569025884431,-63.0,50.0,20.0,0.2,0.8,0.0
69,ais(0.89819),0.5340957641601562,,0.5340957641601562,-61.11173840293464,-63.0,50.0,20.0,0.3,0.8,0.0
70,ais(0.89819),0.533294677734375,,0.533294677734375,-60.70059485720289,-63.0,50.0,20.0,0.4,0.8,0.0
71,ais(0.89819),0.5324935913085938,,0.5324935913085938,-60.20591420057123,-63.0,50.0,20.0,0.5,0.8,0.0
72,ais(0.89819),0.5315780639648438,,0.5315780639648438,-59.383836814576995,-63.0,50.0,20.0,0.6,0.8,0.0
73,ais(0.89819),0.5307769775390625,,0.5307769775390625,-57.67807051527709,-63.0,50.0,20.0,0.7,0.8,0.0
74,ais(0.89819),0.5298614501953125,,0.5298614501953125,-17.623930677068437,-63.0,50.0,20.0,0.8,0.8,0.0
75,ais(0.89819),0.5289459228515625,,0.5289459228515625,-17.68622342379692,-63.0,50.0,20.0,0.9,0.8,0.0
76,ais(0.89819),0.5281448364257812,,0.5281448364257812,-17.740491652372032,-63.0,50.0,20.0,1.0,0.8,0.0
